Date,T1,T2,T3,T4,T5,Percent Change 24,Percent Change 48,Percent Change 72
11/27/2017,0,0,0,1,0,4.98,2.45,0.72
11/22/2017,0,0,0,-1,0,2.17,-2.6,0
11/30/2017,0,0,0,-1,0,3.3,7.25,8.22
11/28/2017,0,0,1,0,0,2.4,-1.69,1.74
11/26/2017,0,0,0,1,0,6.16,5.23,7.81
12/1/2017,1,0,0,0,0,7.62,0.9,3.17
12/4/2017,0,0,1,1,0,3.02,2.23,22.6
12/8/2017,0,0,0,-1,0,-6.93,-8.4,-6.72
12/9/2017,0,0,0,-1,0,-8.14,1.83,11.59
12/19/2017,-1,0,0,0,0,-7.02,-6.48,-11.1
12/11/2017,0,0,0,1,0,9.78,2.83,-3.12
12/28/2017,-1,0,0,0,0,-7.93,0.34,-11.33
12/29/2017,0,0,0,-1,0,-0.27,-11.63,-3.41
12/27/2017,-2,0,0,-1,0,-2.01,-7.78,-7.46
12/22/2017,0,-1,-1,-1,0,-13,6.27,0.68
12/25/2017,0,0,0,-1,0,0.22,14.78,12.92
12/26/2017,0,0,0,1,0,14.7,-1.62,-9.28
